cluster,n_members,name,top_words,top_characters,label
-1,3172,,"numps, harry, piramus, alack, henry, tom, bully, glas, broom, fressingfield",TRUEWIT | KING | IAGO | RICHARD | CICERO,-1: not clustered (short part or duplicate edition)
0,317,"Clowns, beggars & street sellers","shillings, tom, guts, mutton, wares, dan, lousy, worshipful, stinkard, nuncle",FLAMINEO | ANDELOCIA | FALSTAFF | BLACK KNIGHT | ALUPIS,"0: Clowns, beggars & street sellers"
1,307,"Wives, widows & intimate counsel","nony, tailors, butler, mall, jesu, massinissa, delicate, trivia, tom, medam",VINDICE | FITZDOTTREL | BELLAMONT | ILFORD | BIRON,"1: Wives, widows & intimate counsel"
2,293,,"horestes, quha, weill, bohor, sysimethres, griselda, baith, renown, dois, luife",ARATUS | COLAX | BUSSY | PORTIA | SULEIMAN,"2: horestes, quha, weill"
3,288,,"numps, numpes, blastfield, wares, parson, nidden, delicate, iinny, nat, tarrieth",CELESTINA | SEMPRONIO | HERCULES | ASOTUS | COMPASS,"3: numps, numpes, blastfield"
4,287,,"loyalty, handmaid, spotless, blessings, hamilcar, moves, henry, dissemble, sheele, writing",BOSOLA | MOMFORD | CAMIOLA | TROILUS | YOUNG NONSUCH,"4: loyalty, handmaid, spotless"
5,281,Romantic leads (high style),"griselda, mephastophilis, rsini, zelmane, hapless, orgalio, jarbus, marriam, peggy, guiltless",CALISTO | EDWARD II | EDWARD I | HEROD | GWALTER,5: Romantic leads (high style)
6,277,Battlefield messengers & soldiers,"armies, fleece, pestle, wonted, pikes, thundering, quake, hideous, phaebus, fiercely",MEDEA | ANTONY | MEDEA | CAESAR | RAFE,6: Battlefield messengers & soldiers
7,276,"Pedants, satyrs & Latin wit","sicut, istis, quasi, crites, animal, quatuor, bubo, signiour, habet, juice",DROMODOTUS | CLERMONT | D'AMVILLE | ROMELIO | MERCURY,"7: Pedants, satyrs & Latin wit"
8,272,Martial kings & Roman gravity,"massinissa, yaw, league, renown, quasi, apud, sicut, armies, hunc, lisimachus",PEDANTIUS | DUKE | ALEXANDER | SULLA | HENRY,8: Martial kings & Roman gravity
9,267,,"ralph, blastfield, bully, abram, rees, signiour, quoits, marse, halloe, doublet",VOLPONE | CHORUS | IRUS | FALSTAFF | WILLIAM,"9: ralph, blastfield, bully"
10,266,,"earine, jarbus, alack, vapours, mishap, hapless, doleful, annetta, soch, babe",RICHARD | LEAR | LAZARELLO | ELICIA | CAROL,"10: earine, jarbus, alack"
11,262,,"tospot, rees, ralph, soch, tout, oundes, faukenbridge, zounds, bottle, george",HAMLET | INFIDELITY | CARLO BUFFONE | TUCCA | AREUSA,"11: tospot, rees, ralph"
12,262,,"signor, sal, zelmane, handkerchief, absolon, dissemble, thrall, dois, blushes, creation",KING EDWARD | OTHELLO | ELDER LOVELESS | ROSALIND | MACILENTE,"12: signor, sal, zelmane"
13,253,Attendant courtiers & citizens,"tanner, kate, topas, harry, henry, george, annetta, sheele, dissemble, nun",RICHARD | KING | SEJANUS | TOUCHSTONE | PETRUCHIO,13: Attendant courtiers & citizens
14,248,,"madestee, welse, enormity, bench, peopill, worshipful, soch, carl, accused, crimes",ZIRIFF | KING | ANTIFRONT | BRAINWORM | FALSO,"14: madestee, welse, enormity"
15,245,"Devils, vices & grotesques","ang, hunc, fleire, shillings, chil, sblood, scavenger, towsand, palurin, dextram",HERCULES | ROMONT | REIGNALD | GOD THE FATHER | FLORIDA,"15: Devils, vices & grotesques"
16,245,,"nat, ningle, chould, numps, terry, dery, gyb, vader, relyke, chil",QUARLOUS | CLERIMONT | EYRE | YOUNG LOVELESS | FRISCO,"16: nat, ningle, chould"
17,245,Intriguers & schemers,"nat, leaguer, assyrian, mowche, bashas, andalle, sango, histaspis, wilful, dos",TRUEWIT | THARSALIO | MOSCA | AMORPHUS | PISARO,17: Intriguers & schemers
18,242,,"salic, caius, flewellen, coronel, mamon, crimes, league, pinner, traitorous, armies",BIRON | CICERO | BAJAZETH | CATILINE | MALEVOLE,"18: salic, caius, flewellen"
19,238,,"piety, thalander, crimes, blessings, loathed, pretend, sufferings, monument, moves, parent",MELIBEA | MALEFORT | PHILOLOGUS | CHAROLAIS | PHILASTER,"19: piety, thalander, crimes"
20,236,"Conjurers, witches & physicians","ithimore, nat, invisible, notary, glycerie, humfrey, lenkin, faukenbridge, knavery, herbs",PARMENO | BARABAS | IAGO | FACE | ANTEROS,"20: Conjurers, witches & physicians"
21,233,,"gar, shillings, alii, yongrave, ogenes, nat, zonne, cuz, zay, lollard",CORIOLANUS | ROLLIARDO | CHARTLEY | STEPHEN | IMOGEN,"21: gar, shillings, alii"
22,228,,"broom, tiff, loathsome, snakes, hercles, dismal, bestis, serpents, crimes, shades",TIMON | OEDIPUS | ORESTES | HIERONIMO | HOFFMAN,"22: broom, tiff, loathsome"
23,218,,"rogues, crochet, shakbag, kicked, doister, tidle, prolixity, doublet, hillaria, sbloud",MERRYGREEK | TRINCALO | QUINTILIANO | MOLL | PHORMIO,"23: rogues, crochet, shakbag"
24,180,"Gods, cupids & celestial agents","casane, crites, anacreon, ortum, elementis, dextram, groves, dooste, yeah, lungs",ARBACES | MENANDER | SUBTLE | TAMBURLAINE | TAMBURLAINE,"24: Gods, cupids & celestial agents"
