cluster,n_members,top_words,top_characters,label
-1,7826,"must, did, death, both, goe, day, heare, before, heart, other",Pal | Pater Coelestis | Hoff | ESAU | Soli,-1: outliers
0,29,"wallace, selby, clifford, bloud, own, scot, scotland, vvallace, mentith, grimsby",Wal | Wa | Sel | Wall | Haſ,"0: wallace, selby, clifford"
1,32,"timon, timons, cleora, athens, honour, must, noble, leosthenes, has, did",CLEORA | TIMOLEON | Leost | Stew | TIMANDRA,"1: timon, timons, cleora"
2,264,"did, must, death, goe, both, other, heart, heare, world, might",Chorvs | Celest | Calisto | Melibea | Tru,"2: did, must, death"
3,37,"poeta, polites, choler, geometres, melancholico, geographus, sanguis, logicus, magus, grammaticus",Phant | Cheiro | Geog | Poet | Med,"3: poeta, polites, choler"
4,24,"iohn, falstaffe, ford, misteris, page, shallow, bardolfe, host, maister, brooke",Prince | Fal | Fal | Fal | Falst,"4: iohn, falstaffe, ford"
5,23,"conscience, lucre, lucar, usurie, fraud, dissimulation, london, londons, nemo, pleasure",Simp | Pol | Sim | Simp | Luc,"5: conscience, lucre, lucar"
6,21,"damon, erostrato, pithias, pasiphilo, dionisius, suche, dulipo, stephano, courte, philogano",Pithias | DAMON | Pa | Du | Ero,"6: damon, erostrato, pithias"
7,103,"thu, lorde, did, holy, christ, tyme, yow, maye, soch, iacob",Abraham | CHRIST | Iuuen Tus | Ionas | Hypocriſie,"7: thu, lorde, did"
8,1912,"must, did, has, goe, heart, heare, two, bee, woman, away",Host | Alb | Pan | Eyre | Bel,"8: must, did, has"
9,21,"lapirus, bloud, niniuie, radagon, love, death, iustice, earth, deare, dead",AUTUMN | SAMIA | Fer | Alta | Tam,"9: lapirus, bloud, niniuie"
10,46,"death, realme, porrex, noble, both, lordes, prince, nowe, grace, must",Cara | Mahomet | Gorl | Cona | Gorboduc,"10: death, realme, porrex"
11,24,"ego, que, est, non, mihi, quid, hoc, sed, vel, qui",Cro | Pog | T | Gil | Tyr,"11: ego, que, est"
12,235,"amyntas, phillis, did, must, endimion, death, heart, cupid, venus, bee",DAPHNE | Con | AMYNTAS | Rho | End,"12: amyntas, phillis, did"
13,37,"griefe, heart, mosbie, eye, fire, starre, susan, must, absence, husband",The | Gui | Mich | Por | Slacke,"13: griefe, heart, mosbie"
14,22,"beauty, colin, lookes, ous, own, phoebus, iunoes, glauncing, lippe, ganimede",2. King | Hephe | Phi | Cleo | Iuno,"14: beauty, colin, lookes"
15,20,"hector, aiax, achilles, troylus, troy, patroclus, diomed, troyan, vlisses, hectors",Vliss | Cres | Ther | Achil | Vlis,"15: hector, aiax, achilles"
16,90,"maskers, night, flowers, pan, flora, dance, song, queene, trees, spring","NIGHT | DELIGHT
GRACE | Mer | Poet | Orph","16: maskers, night, flowers"
17,64,"hercules, saturne, tytan, iason, greece, must, fleece, colchos, sonne, alcides",Iason | Sat | MEDEA | Lant | HOMER,"17: hercules, saturne, tytan"
18,76,"death, thebes, did, myne, eke, wyth, troy, both, deare, mother",Eury | Cre | Nu | ORESTES | Pyl,"18: death, thebes, did"
19,31,"dauids, israel, dauid, vrias, ioab, absolon, ammon, heart, ammons, israels",Abs | Dauid | Ioab | Da | Vrias,"19: dauids, israel, dauid"
20,284,"france, edward, did, duke, death, england, grace, lords, queene, henry",Hot | KING BDWARD | King | Longsh | Kin,"20: france, edward, did"
21,68,"must, little, has, forsooth, goe, bee, wit, women, apelles, ladies",Baud | Ano | Tel | Eu | Winif,"21: must, little, has"
22,34,"cesar, caradoc, rome, must, warre, sateros, honour, eagle, roman, fight",Bel | Codig | Vnt | Venu | Ostor,"22: cesar, caradoc, rome"
23,22,"baiazet, selymus, zemes, achmetes, achomates, must, corcutus, blood, hopes, death",Selym | Isaack | Solym | Baiaz | Ach,"23: baiazet, selymus, zemes"
24,86,"tamburlaine, tamburlain, mahomet, zenocrate, baiazeth, persea, than, theridamas, world, turkish",Tamb | Cal | Bai | Tamb | Orc,"24: tamburlaine, tamburlain, mahomet"
25,43,"did, whil, death, might, minde, fortune, pow, world, others, thoughts",Alex | DARIUS | Nunt | Olimpias | Sel,"25: did, whil, death"
26,22,"seianvs, caesar, senate, drvsvs, silivs, caesars, macro, tiberivs, arrvntivs, lordship",Sil | Sab | Mac | Ter | Evd,"26: seianvs, caesar, senate"
27,21,"ramus, albvmazar, ply, schoole, valasco, wit, tip, hem, booke, lecture","Mast | RAMUS | M, Gour | Quart | 2","27: ramus, albvmazar, ply"
28,38,"marius, scilla, rome, consull, cynna, scillas, vvhy, manie, romaines, vvho",Mar: Pat | Mar | Anthony | Octa | Svlpitivs Tribvne,"28: marius, scilla, rome"
29,166,"brutus, did, rome, antonius, anthony, cleopatra, world, antony, death, might",Ant | Cym | An | Brut | Eno,"29: brutus, did, rome"
30,134,"kill, away, murder, villaine, death, sword, must, dead, head, did",Bo | Mor | 3. Neigh | Fastid | Diuisy On,"30: kill, away, murder"
31,101,"death, cruell, alas, teares, did, daughter, away, dead, griefe, sonne",Tan | Xa ̄ Tippe | PLAGUE | Lady An | Gh,"31: death, cruell, alas"
32,79,"spaine, braue, alta, armes, portugall, muy, thousand, english, christian, fleet",Bosc | Post | Cely | Seb | Quée,"32: spaine, braue, alta"
33,146,"grace, highnesse, maiestie, highnes, duke, cardinall, prince, queene, name, england",Sussex | Der | Brand | Aurelia | Uolt,"33: grace, highnesse, maiestie"
34,449,"money, master, two, has, must, maister, pound, drinke, goe, old",FURNACE | Inf • | Pec | Baud | Haunce,"34: money, master, two"
