cluster,n_members,top_words,top_characters,label
-1,9096,"death, has, none, friend, eyes, bring, face, sonne, right, woman",Mar | Hoff | King | Fast | Ant,-1: outliers
0,88,"thu, lorde, iacob, holy, christ, soch, maye, philologus, synne, yow",Abraham | CHRIST | Iuuen Tus | Hypocriſie | ISAAC,"0: thu, lorde, iacob"
1,98,"death, realme, emeria, power, prince, force, than, rule, lordes, nature",Gorl | Cona | The | Gorboduc | Pat,"1: death, realme, emeria"
2,31,"dauids, israel, vrias, dauid, ioab, absolon, cusay, ammon, israels, sonne",Abs | Dauid | Ioab | Da | Vrias,"2: dauids, israel, vrias"
3,314,"france, death, queene, duke, lords, richard, yorke, edward, henry, england",War | Hot | King | KING BDWARD | King,"3: france, death, queene"
4,63,"poeta, aristippus, polites, choler, geometres, melancholico, sanguis, geographus, logicus, has",Geog | Poet | Med | Geom | Simp,"4: poeta, aristippus, polites"
5,261,"death, friend, hir, eyes, none, has, face, woman, house, sonne",Chorvs | Celest | Calisto | Melibea | Tru,"5: death, friend, hir"
6,53,"wit, word, young, face, has, doctor, forsooth, clarke, cousin, please",Gauest | Baud | Ano | Winif | Agu,"6: wit, word, young"
7,86,"has, gentlemen, gentleman, word, none, woman, doctor, wit, gallants, nere",WILL CRICKET | Ser | Luc | Quick | Gold,"7: has, gentlemen, gentleman"
8,794,"has, mistris, house, master, love, woman, friend, gentleman, duke, husband",Gasp | R. D | Blood | Mart | Count,"8: has, mistris, house"
9,98,"tamburlaine, baiazet, mahomet, tamburlain, selymus, baiazeth, zemes, zenocrate, death, crowne",Selym | Tamb | Cal | Bai | Isaack,"9: tamburlaine, baiazet, mahomet"
10,52,"cyrus, death, whil, panthea, fortune, pow, others, end, abradates, thoughts",Alex | DARIUS | Nunt | Olimpias | Sel,"10: cyrus, death, whil"
11,433,"rome, brutus, death, marius, caesar, senate, seianvs, martius, scipio, power",Tib | Scip | Nun | CORNELIA | Sy,"11: rome, brutus, death"
12,194,"amyntas, phillis, endimion, death, cupid, venus, eyes, phao, siluia, sweete",AMYNTAS | Rho | End | Eul | Per,"12: amyntas, phillis, endimion"
13,118,"maskers, flowers, pan, queene, earth, song, dance, flora, siluer, spring","NIGHT | DELIGHT
GRACE | Mer | Mercvry | Poet","13: maskers, flowers, pan"
14,180,"death, thebes, troy, doothe, sonne, wyth, myne, eke, deare, alas",Nun | Eury | Her | Cre | Cre,"14: death, thebes, troy"
15,70,"spaine, braue, english, france, armes, warlike, lords, spaniards, souldiers, army",Post | Cely | Seb | Quée | Gouern,"15: spaine, braue, english"
16,114,"queene, highnesse, maiestie, lords, prince, england, duke, highnes, royall, france",Rodo | Mon | Der | Brand | Uolt,"16: queene, highnesse, maiestie"
17,91,"death, alas, cruell, bloud, teares, sonne, woes, eyes, wretched, end",Xa ̄ Tippe | PLAGUE | Lady An | Gh | Wend • Ll,"17: death, alas, cruell"
18,51,"een, madame, knight, maister, forsooth, has, challener, gentlemen, coach, emissary",Miſtris Touch | Iarvis | Clem | Bu | Chriſto,"18: een, madame, knight"
19,93,"kill, pistoll, villaine, death, murder, tiler, fiue, twentie, mountague, caualero",Bo | 2. Ruff | Alua | Fastid | Diuisy On,"19: kill, pistoll, villaine"
20,198,"drinke, drunke, has, master, nose, wine, mistris, does, row, iohn",Pec | Baud | 2. Mad | Capt | Sir Iohn,"20: drinke, drunke, has"
21,54,"money, pound, honest, trade, monie, pence, gentleman, warrant, three, iohn","Inf • | Infae | Huſ | M, C | Pand","21: money, pound, honest"
