work,TCP,title,year,total_words,n_characters,included_in_clustering,selection_policy,kept_edition
"The Bloody Brother (Rollo, Duke of Normandy)",A00958,"The Bloody Brother (Rollo, Duke of Normandy)",1639.0,18671,25,True,earliest-dated,A00958
"The Bloody Brother (Rollo, Duke of Normandy)",A00959,,,19271,27,False,,A00958
"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, a",A01424,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, and Tobacco Contending for Superiority)",1629.0,4762,7,True,earliest-dated,A01424
"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, a",A01425,,,6080,8,False,,A01424
Supposes,A01513.1,Supposes,1573.0,14656,17,True,earliest-dated,A01513.1
Supposes,A01514.2,,,15498,16,False,,A01513.1
Jocasta,A01513.2,Jocasta,1573.0,19664,14,True,earliest-dated,A01513.2
Jocasta,A01514.3,,,18276,14,False,,A01513.2
"Lodovic Sforza, Duke of Milan",A01853,"Lodovic Sforza, Duke of Milan",1628.0,14942,16,True,earliest-dated,A01853
"Lodovic Sforza, Duke of Milan",A01851.1,,,15433,16,False,,A01853
Friar Bacon and Friar Bongay,A02127,Friar Bacon and Friar Bongay,1594.0,16019,30,True,earliest-dated,A02127
Friar Bacon and Friar Bongay,A02128,,,16150,30,False,,A02127
"The Three Laws of Nature, Moses, and Christ, Corrupted by th",A02738,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists",1548.0,14844,13,True,earliest-dated,A02738
"The Three Laws of Nature, Moses, and Christ, Corrupted by th",A02749,,,14601,13,False,,A02738
Bartholomew Fair,A04633.1,Bartholomew Fair,1631.0,36130,30,True,earliest-dated,A04633.1
Bartholomew Fair,A72473.1,,,33594,32,False,,A04633.1
The Devil Is an Ass,A04633.3,The Devil Is an Ass,1631.0,24512,27,True,earliest-dated,A04633.3
The Devil Is an Ass,A72473.3,,,24650,26,False,,A04633.3
The Alchemist,A04636,The Alchemist,1612.0,25509,14,True,earliest-dated,A04636
The Alchemist,A04632.8,,,19858,13,False,,A04636
Catiline His Conspiracy,A04640,Catiline His Conspiracy,1611.0,27777,28,True,earliest-dated,A04640
Catiline His Conspiracy,A04632.9,,,17675,24,False,,A04640
Chloridia: Rites to Chloris and Her Nymphs,A04644,Chloridia: Rites to Chloris and Her Nymphs,1631.0,1046,8,True,earliest-dated,A04644
Chloridia: Rites to Chloris and Her Nymphs,A72473.18,,,1050,8,False,,A04644
"Epicene, or The Silent Woman",A04645,"Epicene, or The Silent Woman",1620.0,25589,15,True,earliest-dated,A04645
"Epicene, or The Silent Woman",A04632.7,,,28306,15,False,,A04645
Every Man Out of His Humor,A04648,Every Man Out of His Humor,1600.0,36408,29,True,earliest-dated,A04648
Every Man Out of His Humor,A04632.2,,,36615,29,False,,A04648
The Fortunate Isles and Their Union,A04652,The Fortunate Isles and Their Union,1625.0,2948,8,True,earliest-dated,A04652
The Fortunate Isles and Their Union,A72473.16,The Masque of Owls,1641.0,2945,8,False,,A04652
A04654,A04654,,,4539,5,True,earliest-dated,A04654
A04654,A04632.17,,,2605,4,False,,A04654
Neptune's Triumph for the Return of Albion,A04656,Neptune's Triumph for the Return of Albion,1624.0,2183,8,True,earliest-dated,A04656
Neptune's Triumph for the Return of Albion,A72473.13,,,2773,8,False,,A04656
The Malcontent,A07074,The Malcontent,1604.0,19274,22,True,earliest-dated,A07074
The Malcontent,A07071,,,14403,16,False,,A07074
A07395.1,A07395.1,,,11217,9,True,earliest-dated,A07395.1
A07395.1,A07395.2,,,8286,11,False,,A07395.1
Ferrex and Porrex (Gorboduc),A08360,Ferrex and Porrex (Gorboduc),1570.0,14422,17,True,earliest-dated,A08360
