TCP,raw_name,suggested_match,score
A00456,Mater,MOTHER,72
A00456,Manſipilus,MANSIPULUS,90
A00456,Subſeruus,SUBSERVUS,88
A00456,Iuſtice,JUSTICE,85
A00456,Mahſipula,MANSIPULA,88
A00725,Stra,STRANGE,72
A00725,World,WORLDLY,83
A00725,Stran,STRANGE,83
A00725,Pend,PENDANT,72
A00725,Nin,NINNY,75
A00725,Sir Abra,SIR ABRAHAM,84
A00760,Brenn,BRENNUS,83
A00760,Merc,MERCURY,72
A00760,Nenn,NENNIUS,72
A00760,Laber,LABERIUS,76
A00760,Cassib,CASSIBELAN,75
A00760,Androg,ANDROGEUS,80
A00760,Belin,BELINUS,83
A00760,Roll,ROLLANO,72
A00760,Hiril,HIRILDAS,76
A00760,Crid,CRIDOUS,72
A00760,Guert,GUERTED,83
A00760,Brit,BRITAEL,72
A00760,Mandub,MANDUBRACE,75
A00960,Char,CHARLES,72
A00960,Eust,EUSTACE,72
A00960,Andr,ANDREW,80
A00960,Bris,BRISAC,80
A00960,Miram,MIRAMONT,76
A00960,Serv,SERVANT,72
A00962,Sat,SATYR,75
A00962,Old Shep,OLD SHEPHERD,80
A00962,Peri,PERIGOT,72
A00962,Cloe,CHLOE,88
A00962,Daph,DAPHNIS,72
A00962,Alex,ALEXIS,80
A00962,Clor,CLORIN,80
A00962,Then,THENOT,80
A00962,Amore,AMORET,90
A00962,Saty,SATYR,88
A00962,Satyre,SATYR,90
A00962,Satrye,SATYR,72
A00962,Satry,SATYR,80
A00962,Satire,SATYR,72
A00962,Preest,PRIEST,83
A00962,Glorin,CLORIN,83
A00962,Amor,AMORET,80
A00962,Perig,PERIGOT,83
A00962,Cl • Rin,CLORIN,83
A00966,Lurc,LURCHER,72
A00966,Mar,MARIA,75
A00966,Nur,NURSE,75
A00967,Serv,SERVANT,72
A00967,Sanch,SANCHIO,83
A00967,Alon,ALONZO,80
A00967,Alt,ALTEA,75
A00967,Per,PEREZ,75
A00967,Margar,MARGARITA,80
A00967,Sanc,SANCHIO,72
A00967,Old Wom •,OLD WOMAN,87
A00967,Old Wo,OLD WOMAN,80
A00967,Old. Wo,OLD WOMAN,80
A00967,Coachm,COACHMAN,85
A00968,Bawd,BAWDBER,72
A00968,Prot,POST,75
A00968,Prota,PROTALDI,76
A00968,Mart,MARTEL,80
A00968,Thier,THIERRY,83
A00968,Bawdb,BAWDBER,83
A00968,Protal,PROTALDI,85
A00968,Protaldye,PROTALDI,82
